filename,width,height,class,xmin,ymin,xmax,ymax
pet-20bottle-20-116-_jpg.rf.01cf1ae43f789f295784b2736a70c6f6.jpg,300,300,plastic,85,20,213,283
88_jpg.rf.067cfd64ca8805fec655553c2142e3c2.jpg,900,900,can,227,28,522,851
88_jpg.rf.067cfd64ca8805fec655553c2142e3c2.jpg,900,900,can,501,92,726,790
pet-20bottle-20-386-_jpg.rf.093a940e0eb240f12ee4d39d5035ddbb.jpg,300,300,plastic,55,87,209,192
10_jpg.rf.0b542af2f98ab8ca84cc02317a2b7e5f.jpg,1000,1000,can,345,112,648,877
91_jpg.rf.12d2987283a6d143688587b0adc79a54.jpg,500,352,can,94,28,305,261
91_jpg.rf.12d2987283a6d143688587b0adc79a54.jpg,500,352,can,177,202,412,352
91_jpg.rf.12d2987283a6d143688587b0adc79a54.jpg,500,352,can,36,171,172,352
91_jpg.rf.12d2987283a6d143688587b0adc79a54.jpg,500,352,can,0,50,120,208
91_jpg.rf.12d2987283a6d143688587b0adc79a54.jpg,500,352,can,0,0,129,84
91_jpg.rf.12d2987283a6d143688587b0adc79a54.jpg,500,352,can,77,5,195,150
91_jpg.rf.12d2987283a6d143688587b0adc79a54.jpg,500,352,can,356,61,485,274
91_jpg.rf.12d2987283a6d143688587b0adc79a54.jpg,500,352,can,248,0,396,201
74_jpg.rf.158e28b2446dc5b7b4daaf0a9bed8d72.jpg,500,290,can,23,34,124,220
74_jpg.rf.158e28b2446dc5b7b4daaf0a9bed8d72.jpg,500,290,can,120,35,227,229
74_jpg.rf.158e28b2446dc5b7b4daaf0a9bed8d72.jpg,500,290,can,224,38,334,236
74_jpg.rf.158e28b2446dc5b7b4daaf0a9bed8d72.jpg,500,290,can,334,37,447,238
165_jpg.rf.1894b48e24c93cc3cf5d4c630224c058.jpg,2048,1537,can,969,420,1375,995
pet-20bottle-20-481-_jpg.rf.19a085e9e06680df705c43434d2d1cf4.jpg,300,300,plastic,101,0,198,300
29_jpg.rf.1b836dfe0e561d302deb5ac2ead3ca6b.jpg,1440,1920,can,268,267,754,1422
29_jpg.rf.1b836dfe0e561d302deb5ac2ead3ca6b.jpg,1440,1920,can,861,257,1440,1502
29_jpg.rf.1b836dfe0e561d302deb5ac2ead3ca6b.jpg,1440,1920,can,0,321,173,1187
29_jpg.rf.1b836dfe0e561d302deb5ac2ead3ca6b.jpg,1440,1920,can,128,314,362,1153
AluCan83_jpg.rf.1f4c79dda3a38efd1a372aa3695d2697.jpg,512,384,can,9,36,511,370
pet-20bottle-20-218-_jpg.rf.20ca381000c0a8e829029eb6bf678084.jpg,300,300,plastic,90,185,194,287
35_jpg.rf.23991b45f83d2de2a24741724f95bfe9.jpg,800,600,can,214,14,584,592
pet-20bottle-20-236-_jpg.rf.23e1d2a47a7fd3e8f61a15fad7624119.jpg,300,300,plastic,103,26,226,206
3_jpg.rf.2ce066f113920c980c22ade05b10c7ce.jpg,720,720,can,171,103,424,580
3_jpg.rf.2ce066f113920c980c22ade05b10c7ce.jpg,720,720,can,417,291,616,529
200060_jpg.rf.35811fc962e3ce243650a66dae3bf1e0.jpg,640,640,plastic,251,38,383,617
200060_jpg.rf.35811fc962e3ce243650a66dae3bf1e0.jpg,640,640,plastic,365,34,470,539
AluCan511_jpg.rf.3610a22caa1d4372c71a6951a0147dc7.jpg,512,683,can,248,400,415,500
200429_jpg.rf.3bcd3d8a4a4f01d62a28bd3cea148f4e.jpg,600,650,plastic,372,274,542,650
200429_jpg.rf.3bcd3d8a4a4f01d62a28bd3cea148f4e.jpg,600,650,plastic,466,354,600,650
300063_jpg.rf.3d03f5322e000c79ba8901e78e019c60.jpg,640,640,plastic,198,0,436,640
300063_jpg.rf.3d03f5322e000c79ba8901e78e019c60.jpg,640,640,plastic,0,247,112,446
300063_jpg.rf.3d03f5322e000c79ba8901e78e019c60.jpg,640,640,plastic,103,203,210,381
46_jpg.rf.3f467575260886a7938c4c6fdd98e937.jpg,1024,768,can,356,4,654,761
pet-20bottle-20-476-_jpg.rf.3c6b3ebe1110216710b5c247b54d5ce0.jpg,300,300,plastic,12,54,284,234
120_jpg.rf.42d019de206f3747bdd71e3c0454fc50.jpg,800,1000,can,169,18,604,982
200029_jpg.rf.40cabc17906379f02f3782e2352cc1cf.jpg,352,280,plastic,44,6,135,254
136_jpg.rf.4421817358303ecc776f48a8e717ce54.jpg,2048,1537,can,1031,443,1337,819
beverage_cans-141_jpg.rf.47bb1ec907aca8582125537d68239c63.jpg,416,416,can,71,71,162,389
